Συντάκτης;Τίτλος;URL Κριτικής;Μέσο;Ημερομηνία
Χριστόδουλος Ράδος;Ένα κρυμμένο διαμάντι;https://parallaximag.gr/enas-diaforetikos-tympanistis-ena-krymmeno-diamanti-148281;https://parallaximag.gr;21/08/2022
Άγης Αθανασιάδης;Ένας διαφορετικός τυμπανιστής;https://librofilo.blogspot.com/2021/08/blog-post_25.html?fbclid=IwAR3qmhhwqnrVDZXAzWDV8lrOGDJDCFhuRCnoKl0b-2LAv5n5KISuDwJi4yA;Librofilo;25/08/2021
Διονύσης Μαρίνος;Ένας διαφορετικός τυμπανιστής;https://bookpress.gr/kritikes/xeni-pezografia/13359-melvin-kelley-william-metaichmio-enas-diaforetikos-tumpanistis-marinos;www.bookpress.gr;17/04/2021
Μάνος Κοντολέων;Μια φωνή μέσα στο πλήθος;https://www.tanea.gr/print/2021/03/20/lifearts/mia-foni-mesa-sto-plithos/;Τα Νέα/ Βιβλιοδρόμιο;20/03/2021
Χρυσούλα Γούναρη;Come, they told me not;https://bookworm-sue.blogspot.com/2021/02/come-they-told-me-not-john-edward.html;BookWorm;09/02/2021
Αλέξανδρος Στεργιόπουλος;Όταν γυρνά ο τροχός;https://www.toperiodiko.gr/%ce%b5%ce%bd%ce%b1%cf%82-%ce%b4%ce%b9%ce%b1%cf%86%ce%bf%cf%81%ce%b5%cf%84%ce%b9%ce%ba%cf%8c%cf%82-%cf%84%cf%85%ce%bc%cf%80%ce%b1%ce%bd%ce%b9%cf%83%cf%84%ce%ae%cf%82-%cf%84%ce%bf%cf%85/#.X-l-ARbgo2x;Το Περιοδικό;23/12/2020
Κώστας Αθανασίου;Αν οι δρόμοι του Χάρλεμ και τα χωράφια του Νότου μπορούσαν να μιλήσουν;https://www.epohi.gr/article/37770/an-oi-dromoi-toy-harlem-kai-ta-horafia-toy-notoy-mporoysan-na-milhsoyn;Η Εποχή;20/12/2020
Γιάννης Καλογερόπουλος;Ένας διαφορετικός τυμπανιστής;https://no14me.blogspot.com/2020/12/william-melvin-kelley.html?m=0;NO14ME;17/12/2020
Κατερίνα Μαλακατέ;Ένας διαφορετικός τυμπανιστής;http://diavazontas.blogspot.com/2020/11/william-melvin-kelley.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+blogspot%2FWGAin+%28%CE%94%CE%99%CE%91%CE%92%CE%91%CE%96%CE%9F%CE%9D%CE%A4%CE%91%CE%A3%29;Διαβάζοντας;17/11/2020
Κωστής Παπαϊωάννου;Ένας διαφορετικός τυμπανιστής από τα βάθη του αμερικανικού Νότου;;Αιχμές																																											- Αρ. Τεύχους: 2;Φθινόπωρο-Χειμώνας 2020
